slno,year,dtstrict,afso,fps,April_Cards,April_FRice (Kgs),April_Flood Dal (Kgs),April_Flood Onion (Kgs),April_Flood Poil (Kgs),April_Flood Potato (Kgs),April_Flood Rice (Kgs),April_Flood Sugar HK (Kgs),April_Jowar (Kgs),April_RG Dal One kg Pkt (Kgs),April_Raagi (Kgs),April_SUGAR HALF KG (Kgs),April_WM Atta Pkt (Kgs),April_Whole Wheat Atta (Kgs),February_Cards,February_FRice (Kgs),February_Flood Dal (Kgs),February_Flood Onion (Kgs),February_Flood Poil (Kgs),February_Flood Potato (Kgs),February_Flood Rice (Kgs),February_Flood Sugar HK (Kgs),February_Jowar (Kgs),February_RG Dal One kg Pkt (Kgs),February_Raagi (Kgs),February_SUGAR HALF KG (Kgs),February_WM Atta Pkt (Kgs),February_Whole Wheat Atta (Kgs),January_Cards,January_FRice (Kgs),January_Flood Dal (Kgs),January_Flood Onion (Kgs),January_Flood Poil (Kgs),January_Flood Potato (Kgs),January_Flood Rice (Kgs),January_Flood Sugar HK (Kgs),January_Jowar (Kgs),January_RG Dal One kg Pkt (Kgs),January_Raagi (Kgs),January_SUGAR HALF KG (Kgs),January_WM Atta Pkt (Kgs),January_Whole Wheat Atta (Kgs),March_Cards,March_FRice (Kgs),March_Flood Dal (Kgs),March_Flood Onion (Kgs),March_Flood Poil (Kgs),March_Flood Potato (Kgs),March_Flood Rice (Kgs),March_Flood Sugar HK (Kgs),March_Jowar (Kgs),March_RG Dal One kg Pkt (Kgs),March_Raagi (Kgs),March_SUGAR HALF KG (Kgs),March_WM Atta Pkt (Kgs),March_Whole Wheat Atta (Kgs)
544,2026,Annamayya,Peddathippasamudram,1004007,765,13055.00,0,0,0,0,0,0,213.00,0,0,866.00,0,0,823,12956.00,0,0,0,0,0,0,0,0,987.00,906.00,0,0,797,12940.00,0,0,0,0,0,0,0,0,1000.00,902.00,0,0,762,13141.00,0,0,0,0,0,0,128.00,0,13.00,853.00,0,0
545,2026,Annamayya,Peddathippasamudram,1004008,383,6235.00,0,0,0,0,0,0,83.00,0,0,329.00,0,0,343,6405.00,0,0,0,0,0,0,0,0,0,403.00,0,0,350,6050.00,0,0,0,0,0,0,0,0,400.00,406.00,0,0,342,6405.00,0,0,0,0,0,0,0,0,0,400.00,0,0
546,2026,Annamayya,Peddathippasamudram,1004009,361,6294.00,0,0,0,0,0,0,75.00,0,0,370.00,0,0,359,6234.00,0,0,0,0,0,0,0,0,218.00,405.00,0,0,342,5866.00,0,0,0,0,0,0,0,0,287.00,385.00,0,0,364,6460.00,0,0,0,0,0,0,0,0,95.00,411.00,0,0
547,2026,Annamayya,Peddathippasamudram,1004010,262,4577.00,0,0,0,0,0,0,103.00,0,0,267.00,0,0,243,4420.00,0,0,0,0,0,0,0,0,0,274.00,0,0,253,4416.00,0,0,0,0,0,0,0,0,98.00,281.00,0,0,242,4330.00,0,0,0,0,0,0,0,0,0,269.00,0,0
548,2026,Annamayya,Peddathippasamudram,1004011,385,6850.00,0,0,0,0,0,0,0,0,0,454.00,0,0,394,6909.00,0,0,0,0,0,0,0,0,16.00,346.00,0,0,382,6528.00,0,0,0,0,0,0,0,0,284.00,444.00,0,0,401,6780.00,0,0,0,0,0,0,0,0,0,401.00,0,0
549,2026,Annamayya,Peddathippasamudram,1004012,508,8576.00,0,0,0,0,0,0,39.00,0,80.00,499.00,0,0,523,8700.00,0,0,0,0,0,0,0,0,294.00,564.00,0,0,530,8704.00,0,0,0,0,0,0,0,0,397.00,551.00,0,0,522,8695.00,0,0,0,0,0,0,62.00,0,207.00,564.00,0,0
550,2026,Annamayya,Peddathippasamudram,1004013,560,9152.00,0,0,0,0,0,0,400.00,0,0,505.00,0,0,556,9575.00,0,0,0,0,0,0,0,0,0,542.00,0,0,568,9336.00,0,0,0,0,0,0,0,0,400.00,521.00,0,0,585,9785.00,0,0,0,0,0,0,300.00,0,0,634.00,0,0
551,2026,Annamayya,Peddathippasamudram,1004014,618,11025.00,0,0,0,0,0,0,0,0,0,642.00,0,0,624,11210.00,0,0,0,0,0,0,0,0,0,686.00,0,0,625,11215.00,0,0,0,0,0,0,0,0,0,698.00,0,0,623,11310.00,0,0,0,0,0,0,0,0,0,688.00,0,0
552,2026,Annamayya,Peddathippasamudram,1004015,449,8075.00,0,0,0,0,0,0,0,0,0,480.00,0,0,447,8135.00,0,0,0,0,0,0,0,0,0,511.00,0,0,451,8110.00,0,0,0,0,0,0,0,0,0,512.00,0,0,445,7970.00,0,0,0,0,0,0,0,0,0,463.00,0,0
553,2026,Annamayya,Peddathippasamudram,1004016,887,15120.00,0,0,0,0,0,0,0,0,0,882.00,0,0,864,15120.00,0,0,0,0,0,0,0,0,0,954.00,0,0,846,14765.00,0,0,0,0,0,0,0,0,0,922.00,0,0,783,13770.00,0,0,0,0,0,0,0,0,0,869.00,0,0
554,2026,Annamayya,Peddathippasamudram,1004017,450,7850.00,0,0,0,0,0,0,200.00,0,0,470.00,0,0,442,7910.00,0,0,0,0,0,0,0,0,0,479.00,0,0,461,7843.00,0,0,0,0,0,0,0,0,400.00,487.00,0,0,434,7855.00,0,0,0,0,0,0,0,0,0,471.00,0,0
555,2026,Annamayya,Peddathippasamudram,1004018,374,6525.00,0,0,0,0,0,0,0,0,0,389.00,0,0,368,6237.00,0,0,0,0,0,0,0,0,200.00,416.00,0,0,381,6735.00,0,0,0,0,0,0,0,0,0,432.00,0,0,347,6150.00,0,0,0,0,0,0,0,0,0,395.00,0,0
556,2026,Annamayya,Peddathippasamudram,1004019,513,8662.00,0,0,0,0,0,0,145.00,0,0,560.00,0,0,482,8003.00,0,0,0,0,0,0,0,0,317.00,536.00,0,0,471,7997.00,0,0,0,0,0,0,0,0,200.00,521.00,0,0,496,8287.00,0,0,0,0,0,0,255.00,0,0,552.00,0,0
557,2026,Annamayya,Peddathippasamudram,1004020,554,10730.00,0,0,0,0,0,0,0,0,0,661.00,0,0,565,10923.00,0,0,0,0,0,0,0,0,62.00,676.00,0,0,569,10528.00,0,0,0,0,0,0,0,0,438.00,680.00,0,0,555,10400.00,0,0,0,0,0,0,300.00,0,0,660.00,0,0
558,2026,Annamayya,Peddathippasamudram,1004021,530,9789.00,0,0,0,0,0,0,0,0,0,56.00,0,0,508,9455.00,0,0,0,0,0,0,0,0,0,572.00,0,0,513,9024.00,0,0,0,0,0,0,0,0,501.00,584.00,0,0,528,9775.00,0,0,0,0,0,0,0,0,0,593.00,0,0
559,2026,Annamayya,Peddathippasamudram,1004022,356,6240.00,0,0,0,0,0,0,0,0,0,275.00,0,0,374,6440.00,0,0,0,0,0,0,0,0,100.00,319.00,0,0,358,6255.00,0,0,0,0,0,0,0,0,300.00,337.00,0,0,338,6435.00,0,0,0,0,0,0,0,0,0,399.00,0,0
560,2026,Annamayya,Peddathippasamudram,1004023,455,7639.00,0,0,0,0,0,0,35.00,0,0,289.00,0,0,425,7405.00,0,0,0,0,0,0,0,0,0,462.00,0,0,434,7329.00,0,0,0,0,0,0,0,0,216.00,477.00,0,0,435,7521.00,0,0,0,0,0,0,107.00,0,7.00,482.00,0,0
561,2026,Annamayya,Peddathippasamudram,1004024,259,4623.00,0,0,0,0,0,0,132.00,0,0,292.00,0,0,257,4340.00,0,0,0,0,0,0,0,0,210.00,283.00,0,0,285,4755.00,0,0,0,0,0,0,0,0,247.00,311.00,0,0,320,5466.00,0,0,0,0,0,0,0,0,249.00,341.00,0,0
562,2026,Annamayya,Peddathippasamudram,1004025,432,7326.00,0,0,0,0,0,0,0,0,34.00,473.00,0,0,412,7010.00,0,0,0,0,0,0,0,0,225.00,461.00,0,0,413,7184.00,0,0,0,0,0,0,0,0,254.00,470.00,0,0,359,6071.00,0,0,0,0,0,0,0,0,203.00,407.00,0,0
563,2026,Annamayya,Peddathippasamudram,1004026,376,6420.00,0,0,0,0,0,0,206.00,0,4.00,411.00,0,0,389,6460.00,0,0,0,0,0,0,0,0,360.00,412.00,0,0,388,6452.00,0,0,0,0,0,0,0,0,423.00,412.00,0,0,386,6457.00,0,0,0,0,0,0,0,0,213.00,412.00,0,0
564,2026,Annamayya,Peddathippasamudram,1004027,403,6938.00,0,0,0,0,0,0,210.00,0,0,456.00,0,0,402,6955.00,0,0,0,0,0,0,0,0,225.00,454.00,0,0,402,6994.00,0,0,0,0,0,0,0,0,156.00,455.00,0,0,391,6981.00,0,0,0,0,0,0,0,0,119.00,447.00,0,0
565,2026,Annamayya,Peddathippasamudram,1004028,410,6775.00,0,0,0,0,0,0,0,0,0,429.00,0,0,424,6830.00,0,0,0,0,0,0,0,0,350.00,439.00,0,0,434,6840.00,0,0,0,0,0,0,0,0,300.00,439.00,0,0,401,6825.00,0,0,0,0,0,0,0,0,0,439.00,0,0
566,2026,Annamayya,Peddathippasamudram,1004029,365,6408.00,0,0,0,0,0,0,0,0,12.00,408.00,0,0,333,5716.00,0,0,0,0,0,0,0,0,84.00,371.00,0,0,347,5913.00,0,0,0,0,0,0,0,0,87.00,386.00,0,0,347,6066.00,0,0,0,0,0,0,0,0,24.00,374.00,0,0
567,2026,Annamayya,Peddathippasamudram,1004030,212,3485.00,0,0,0,0,0,0,0,0,0,228.00,0,0,188,3105.00,0,0,0,0,0,0,0,0,0,207.00,0,0,198,2883.00,0,0,0,0,0,0,0,0,300.00,213.00,0,0,196,3240.00,0,0,0,0,0,0,0,0,0,215.00,0,0
568,2026,Annamayya,Peddathippasamudram,1004031,283,5110.00,0,0,0,0,0,0,0,0,0,328.00,0,0,291,5130.00,0,0,0,0,0,0,0,0,0,325.00,0,0,283,4490.00,0,0,0,0,0,0,0,0,300.00,311.00,0,0,286,5125.00,0,0,0,0,0,0,0,0,0,326.00,0,0
569,2026,Annamayya,Peddathippasamudram,1004032,434,6628.00,0,0,0,0,0,0,200.00,0,22.00,471.00,0,0,433,6818.00,0,0,0,0,0,0,0,0,94.00,479.00,0,0,437,6768.00,0,0,0,0,0,0,0,0,182.00,477.00,0,0,430,6823.00,0,0,0,0,0,0,0,0,57.00,477.00,0,0
570,2026,Annamayya,Peddathippasamudram,1004033,289,5306.00,0,0,0,0,0,0,29.00,0,0,304.00,0,0,297,5405.00,0,0,0,0,0,0,0,0,0,341.00,0,0,275,4980.00,0,0,0,0,0,0,0,0,0,314.00,0,0,284,5090.00,0,0,0,0,0,0,93.00,0,0,328.00,0,0
571,2026,Annamayya,Peddathippasamudram,1004034,308,5270.00,0,0,0,0,0,0,0,0,0,340.00,0,0,314,5430.00,0,0,0,0,0,0,0,0,0,339.00,0,0,332,5655.00,0,0,0,0,0,0,0,0,0,369.00,0,0,331,5620.00,0,0,0,0,0,0,0,0,0,346.00,0,0
572,2026,Annamayya,Peddathippasamudram,1004035,382,6930.00,0,0,0,0,0,0,0,0,0,424.00,0,0,371,6810.00,0,0,0,0,0,0,0,0,0,409.00,0,0,372,6614.00,0,0,0,0,0,0,0,0,200.00,412.00,0,0,354,6515.00,0,0,0,0,0,0,0,0,0,392.00,0,0
573,2026,Annamayya,Peddathippasamudram,1004036,237,4045.00,0,0,0,0,0,0,200.00,0,0,168.00,0,0,219,4130.00,0,0,0,0,0,0,0,0,0,260.00,0,0,228,4049.00,0,0,0,0,0,0,0,0,200.00,268.00,0,0,222,4065.00,0,0,0,0,0,0,0,0,0,257.00,0,0
574,2026,Annamayya,Peddathippasamudram,1004037,344,5890.00,0,0,0,0,0,0,200.00,0,0,401.00,0,0,339,5907.00,0,0,0,0,0,0,0,0,0,395.00,0,0,347,5654.00,0,0,0,0,0,0,0,0,300.00,397.00,0,0,342,5940.00,0,0,0,0,0,0,0,0,0,397.00,0,0
575,2026,Annamayya,Pileru,1031001,527,8290.00,0,0,0,0,0,0,0,0,200.00,540.00,0,0,530,8345.00,0,0,0,0,0,0,300.00,0,0,542.00,0,0,558,8342.00,0,0,0,0,0,0,0,0,500.00,542.00,0,0,538,8345.00,0,0,0,0,0,0,0,0,300.00,542.00,0,0
576,2026,Annamayya,Pileru,1031002,995,15655.00,0,0,0,0,0,0,0,0,511.00,1005.00,0,0,1064,15484.00,0,0,0,0,0,0,540.00,0,909.00,1007.00,0,0,1009,15730.00,0,0,0,0,0,0,0,0,600.00,1007.00,0,0,1045,15730.00,0,0,0,0,0,0,360.00,0,391.00,1007.00,0,0
577,2026,Annamayya,Pileru,1031003,844,13900.00,0,0,0,0,0,0,0,0,0,885.00,0,0,916,13950.00,0,0,0,0,0,0,500.00,0,500.00,887.00,0,0,878,13950.00,0,0,0,0,0,0,0,0,500.00,887.00,0,0,860,13950.00,0,0,0,0,0,0,0,0,0,887.00,0,0
578,2026,Annamayya,Pileru,1031004,222,3454.00,0,0,0,0,0,0,4.00,0,100.00,232.00,0,0,233,3480.00,0,0,0,0,0,0,100.00,0,150.00,233.00,0,0,223,3479.00,0,0,0,0,0,0,0,0,150.00,233.00,0,0,229,3479.00,0,0,0,0,0,0,96.00,0,100.00,233.00,0,0
579,2026,Annamayya,Pileru,1031005,379,5864.00,0,0,0,0,0,0,150.00,0,150.00,373.00,0,0,364,5920.00,0,0,0,0,0,0,100.00,0,100.00,374.00,0,0,378,5918.00,0,0,0,0,0,0,0,0,300.00,374.00,0,0,370,5869.00,0,0,0,0,0,0,100.00,0,100.00,374.00,0,0
580,2026,Annamayya,Pileru,1031006,252,3755.00,0,0,0,0,0,0,0,0,100.00,248.00,0,0,256,3770.00,0,0,0,0,0,0,100.00,0,100.00,248.00,0,0,245,3775.00,0,0,0,0,0,0,0,0,100.00,248.00,0,0,255,3770.00,0,0,0,0,0,0,100.00,0,150.00,248.00,0,0
581,2026,Annamayya,Pileru,1031007,826,12779.00,0,0,0,0,0,0,0,0,800.00,806.00,0,0,840,12810.00,0,0,0,0,0,0,500.00,0,500.00,809.00,0,0,812,12810.00,0,0,0,0,0,0,0,0,500.00,809.00,0,0,871,12810.00,0,0,0,0,0,0,1000.00,0,500.00,809.00,0,0
582,2026,Annamayya,Pileru,1031008,261,4160.00,0,0,0,0,0,0,0,0,0,268.00,0,0,290,4072.00,0,0,0,0,0,0,250.00,0,250.00,276.00,0,0,277,4180.00,0,0,0,0,0,0,0,0,250.00,276.00,0,0,275,4169.00,0,0,0,0,0,0,200.00,0,100.00,272.00,0,0
583,2026,Annamayya,Pileru,1031009,806,11810.00,0,0,0,0,0,0,200.00,0,500.00,802.00,0,0,807,11600.00,0,0,0,0,0,0,200.00,0,400.00,805.00,0,0,801,11900.00,0,0,0,0,0,0,0,0,500.00,805.00,0,0,798,11895.00,0,0,0,0,0,0,250.00,0,400.00,805.00,0,0
584,2026,Annamayya,Pileru,1031010,477,7845.00,0,0,0,0,0,0,102.00,0,203.00,255.00,0,0,494,7857.00,0,0,0,0,0,0,400.00,0,99.00,125.00,0,0,491,7865.00,0,0,0,0,0,0,0,0,400.00,310.00,0,0,365,5700.00,0,0,0,0,0,0,397.00,0,198.00,378.00,0,0
585,2026,Annamayya,Pileru,1031011,309,5095.00,0,0,0,0,0,0,0,0,300.00,326.00,0,0,297,5110.00,0,0,0,0,0,0,150.00,0,0,323.00,0,0,314,5110.00,0,0,0,0,0,0,0,0,300.00,326.00,0,0,316,5110.00,0,0,0,0,0,0,300.00,0,0,326.00,0,0
586,2026,Annamayya,Pileru,1031012,378,5875.00,0,0,0,0,0,0,0,0,700.00,372.00,0,0,393,5905.00,0,0,0,0,0,0,300.00,0,700.00,372.00,0,0,374,5905.00,0,0,0,0,0,0,0,0,700.00,372.00,0,0,393,5900.00,0,0,0,0,0,0,300.00,0,700.00,372.00,0,0
587,2026,Annamayya,Pileru,1031013,393,6223.00,0,0,0,0,0,0,328.00,0,187.00,395.00,0,0,402,6215.00,0,0,0,0,0,0,325.00,0,235.00,324.00,0,0,372,6240.00,0,0,0,0,0,0,0,0,181.00,391.00,0,0,383,6233.00,0,0,0,0,0,0,98.00,0,84.00,395.00,0,0
588,2026,Annamayya,Pileru,1031014,688,11145.00,0,0,0,0,0,0,0,0,0,384.00,0,0,608,10560.00,0,0,0,0,0,0,0,0,0,643.00,0,0,659,11134.00,0,0,0,0,0,0,0,0,293.00,697.00,0,0,634,11185.00,0,0,0,0,0,0,0,0,0,671.00,0,0
589,2026,Annamayya,Pileru,1031015,529,8525.00,0,0,0,0,0,0,0,0,0,545.00,0,0,538,8569.00,0,0,0,0,0,0,200.00,0,201.00,546.00,0,0,546,8575.00,0,0,0,0,0,0,0,0,249.00,546.00,0,0,517,8567.00,0,0,0,0,0,0,0,0,0,546.00,0,0
590,2026,Annamayya,Pileru,1031016,487,7995.00,0,0,0,0,0,0,0,0,100.00,508.00,0,0,517,8067.00,0,0,0,0,0,0,500.00,0,200.00,511.00,0,0,512,8070.00,0,0,0,0,0,0,0,0,500.00,511.00,0,0,513,8070.00,0,0,0,0,0,0,300.00,0,250.00,511.00,0,0
591,2026,Annamayya,Pileru,1031017,121,1779.00,0,0,0,0,0,0,0,0,99.00,126.00,0,0,129,1784.00,0,0,0,0,0,0,100.00,0,100.00,128.00,0,0,128,1790.00,0,0,0,0,0,0,0,0,150.00,128.00,0,0,131,1776.00,0,0,0,0,0,0,100.00,0,100.00,128.00,0,0
592,2026,Annamayya,Pileru,1031018,1126,17735.00,0,0,0,0,0,0,0,0,0,1172.00,0,0,1163,17795.00,0,0,0,0,0,0,800.00,0,0,1203.00,0,0,1130,17820.00,0,0,0,0,0,0,0,0,300.00,1186.00,0,0,1155,17800.00,0,0,0,0,0,0,300.00,0,300.00,1203.00,0,0
593,2026,Annamayya,Pileru,1031019,244,3593.00,0,0,0,0,0,0,17.00,0,150.00,256.00,0,0,234,3306.00,0,0,0,0,0,0,149.00,0,101.00,243.00,0,0,248,3668.00,0,0,0,0,0,0,0,0,102.00,258.00,0,0,237,3459.00,0,0,0,0,0,0,184.00,0,0,246.00,0,0
594,2026,Annamayya,Pileru,1031020,348,5709.00,0,0,0,0,0,0,0,0,100.00,377.00,0,0,323,5133.00,0,0,0,0,0,0,100.00,0,100.00,347.00,0,0,323,5195.00,0,0,0,0,0,0,0,0,150.00,349.00,0,0,326,5370.00,0,0,0,0,0,0,100.00,0,100.00,352.00,0,0
595,2026,Annamayya,Pileru,1031021,293,4544.00,0,0,0,0,0,0,0,0,2.00,295.00,0,0,271,4275.00,0,0,0,0,0,0,0,0,0,289.00,0,0,335,4231.00,0,0,0,0,0,0,1.00,0,148.00,307.00,0,0,282,4370.00,0,0,0,0,0,0,0,0,0,295.00,0,0
596,2026,Annamayya,Pileru,1031022,349,5096.00,0,0,0,0,0,0,4.00,0,150.00,367.00,0,0,306,4250.00,0,0,0,0,0,0,200.00,0,150.00,322.00,0,0,344,5165.00,0,0,0,0,0,0,0,0,0,359.00,0,0,340,4805.00,0,0,0,0,0,0,146.00,0,150.00,349.00,0,0
597,2026,Annamayya,Pileru,1031023,316,4820.00,0,0,0,0,0,0,0,0,0,338.00,0,0,316,4625.00,0,0,0,0,0,0,50.00,0,150.00,338.00,0,0,318,4835.00,0,0,0,0,0,0,0,0,0,341.00,0,0,313,4835.00,0,0,0,0,0,0,0,0,0,336.00,0,0
598,2026,Annamayya,Pileru,1031024,225,3400.00,0,0,0,0,0,0,0,0,0,237.00,0,0,231,3425.00,0,0,0,0,0,0,50.00,0,50.00,242.00,0,0,230,3435.00,0,0,0,0,0,0,0,0,0,242.00,0,0,240,3420.00,0,0,0,0,0,0,100.00,0,200.00,242.00,0,0
599,2026,Annamayya,Pileru,1031025,120,1960.00,0,0,0,0,0,0,0,0,0,130.00,0,0,117,1915.00,0,0,0,0,0,0,0,0,0,126.00,0,0,117,1915.00,0,0,0,0,0,0,0,0,0,127.00,0,0,117,1920.00,0,0,0,0,0,0,0,0,0,127.00,0,0
600,2026,Annamayya,Pileru,1031026,515,7650.00,0,0,0,0,0,0,0,0,197.00,541.00,0,0,517,7275.00,0,0,0,0,0,0,400.00,0,100.00,541.00,0,0,515,7670.00,0,0,0,0,0,0,0,0,113.00,544.00,0,0,551,7664.00,0,0,0,0,0,0,200.00,0,200.00,544.00,0,0
601,2026,Annamayya,Pileru,1031027,189,2805.00,0,0,0,0,0,0,100.00,0,250.00,182.00,0,0,162,2467.00,0,0,0,0,0,0,150.00,0,100.00,175.00,0,0,175,2655.00,0,0,0,0,0,0,0,0,250.00,182.00,0,0,178,2805.00,0,0,0,0,0,0,100.00,0,150.00,182.00,0,0
602,2026,Annamayya,Pileru,1031028,517,6555.00,0,0,0,0,0,0,0,0,50.00,315.00,0,0,442,6585.00,0,0,0,0,0,0,500.00,0,0,445.00,0,0,438,6585.00,0,0,0,0,0,0,0,0,300.00,445.00,0,0,420,6515.00,0,0,0,0,0,0,0,0,300.00,445.00,0,0
603,2026,Annamayya,Pileru,1031029,436,6405.00,0,0,0,0,0,0,0,0,200.00,452.00,0,0,430,6430.00,0,0,0,0,0,0,100.00,0,150.00,449.00,0,0,419,6425.00,0,0,0,0,0,0,0,0,50.00,438.00,0,0,404,6180.00,0,0,0,0,0,0,0,0,0,417.00,0,0
604,2026,Annamayya,Pileru,1031030,232,3575.00,0,0,0,0,0,0,0,0,0,244.00,0,0,235,3507.00,0,0,0,0,0,0,200.00,0,0,246.00,0,0,235,3665.00,0,0,0,0,0,0,0,0,0,245.00,0,0,233,3660.00,0,0,0,0,0,0,0,0,0,246.00,0,0
605,2026,Annamayya,Pileru,1031031,302,4745.00,0,0,0,0,0,0,0,0,0,324.00,0,0,298,4410.00,0,0,0,0,0,0,300.00,0,0,321.00,0,0,298,4780.00,0,0,0,0,0,0,0,0,0,321.00,0,0,315,4780.00,0,0,0,0,0,0,0,0,200.00,328.00,0,0
606,2026,Annamayya,Pileru,1031032,360,5663.00,0,0,0,0,0,0,0,0,150.00,391.00,0,0,359,5640.00,0,0,0,0,0,0,150.00,0,100.00,386.00,0,0,366,5710.00,0,0,0,0,0,0,0,0,200.00,396.00,0,0,351,5710.00,0,0,0,0,0,0,0,0,0,382.00,0,0
607,2026,Annamayya,Pileru,1031033,214,3042.00,0,0,0,0,0,0,0,0,200.00,224.00,0,0,214,3260.00,0,0,0,0,0,0,50.00,0,100.00,224.00,0,0,214,3280.00,0,0,0,0,0,0,0,0,100.00,224.00,0,0,220,3280.00,0,0,0,0,0,0,100.00,0,100.00,224.00,0,0
608,2026,Annamayya,Pileru,1031034,284,4015.00,0,0,0,0,0,0,0,0,300.00,284.00,0,0,295,4030.00,0,0,0,0,0,0,300.00,0,200.00,285.00,0,0,289,4024.00,0,0,0,0,0,0,0,0,300.00,285.00,0,0,291,4030.00,0,0,0,0,0,0,400.00,0,200.00,285.00,0,0
609,2026,Annamayya,Pileru,1031035,196,2930.00,0,0,0,0,0,0,0,0,100.00,210.00,0,0,196,2945.00,0,0,0,0,0,0,100.00,0,0,210.00,0,0,182,2810.00,0,0,0,0,0,0,0,0,0,195.00,0,0,211,2945.00,0,0,0,0,0,0,100.00,0,100.00,212.00,0,0
610,2026,Annamayya,Pileru,1031036,281,4550.00,0,0,0,0,0,0,0,0,0,298.00,0,0,310,4835.00,0,0,0,0,0,0,0,0,0,323.00,0,0,310,4995.00,0,0,0,0,0,0,0,0,0,322.00,0,0,295,4735.00,0,0,0,0,0,0,50.00,0,0,311.00,0,0
611,2026,Annamayya,Pileru,1031037,355,5489.00,0,0,0,0,0,0,106.00,0,24.00,373.00,0,0,344,5076.00,0,0,0,0,0,0,280.00,0,183.00,360.00,0,0,361,5617.00,0,0,0,0,0,0,1.00,0,100.00,374.00,0,0,353,5327.00,0,0,0,0,0,0,169.00,0,93.00,371.00,0,0
612,2026,Annamayya,Pileru,1031038,189,2730.00,0,0,0,0,0,0,0,0,0,199.00,0,0,192,2709.00,0,0,0,0,0,0,100.00,0,0,201.00,0,0,199,2890.00,0,0,0,0,0,0,0,0,0,208.00,0,0,177,2308.00,0,0,0,0,0,0,100.00,0,100.00,186.00,0,0
613,2026,Annamayya,Pileru,1031039,303,4777.00,0,0,0,0,0,0,0,0,200.00,322.00,0,0,311,4850.00,0,0,0,0,0,0,100.00,0,100.00,322.00,0,0,310,4936.00,0,0,0,0,0,0,0,0,34.00,321.00,0,0,305,4738.00,0,0,0,0,0,0,200.00,0,100.00,313.00,0,0
614,2026,Annamayya,Pileru,1031040,227,3534.00,0,0,0,0,0,0,0,0,200.00,257.00,0,0,207,3223.00,0,0,0,0,0,0,200.00,0,150.00,234.00,0,0,216,3661.00,0,0,0,0,0,0,0,0,34.00,241.00,0,0,210,3382.00,0,0,0,0,0,0,150.00,0,50.00,237.00,0,0
615,2026,Annamayya,Pileru,1031041,375,5765.00,0,0,0,0,0,0,100.00,0,100.00,390.00,0,0,384,5730.00,0,0,0,0,0,0,250.00,0,100.00,390.00,0,0,373,5770.00,0,0,0,0,0,0,0,0,154.00,336.00,0,0,380,5783.00,0,0,0,0,0,0,250.00,0,100.00,390.00,0,0
616,2026,Annamayya,Pileru,1031042,192,2705.00,0,0,0,0,0,0,150.00,0,150.00,172.00,0,0,172,2566.00,0,0,0,0,0,0,100.00,0,100.00,174.00,0,0,171,2571.00,0,0,0,0,0,0,0,0,102.00,180.00,0,0,178,2585.00,0,0,0,0,0,0,150.00,0,50.00,185.00,0,0
617,2026,Annamayya,Pileru,1031043,262,4195.00,0,0,0,0,0,0,0,0,0,283.00,0,0,265,4015.00,0,0,0,0,0,0,100.00,0,0,279.00,0,0,266,4080.00,0,0,0,0,0,0,0,0,150.00,287.00,0,0,267,4095.00,0,0,0,0,0,0,150.00,0,0,288.00,0,0
618,2026,Annamayya,Pileru,1031044,129,1757.00,0,0,0,0,0,0,0,0,93.00,133.00,0,0,130,1805.00,0,0,0,0,0,0,100.00,0,0,135.00,0,0,130,1739.00,0,0,0,0,0,0,0,0,106.00,135.00,0,0,136,1920.00,0,0,0,0,0,0,50.00,0,38.00,139.00,0,0
619,2026,Annamayya,Pileru,1031045,245,3716.00,0,0,0,0,0,0,2.00,0,87.00,255.00,0,0,243,3591.00,0,0,0,0,0,0,99.00,0,99.00,245.00,0,0,243,3785.00,0,0,0,0,0,0,0,0,50.00,253.00,0,0,240,3694.00,0,0,0,0,0,0,99.00,0,0,255.00,0,0
620,2026,Annamayya,Pileru,1031046,186,2749.00,0,0,0,0,0,0,0,0,50.00,191.00,0,0,189,2657.00,0,0,0,0,0,0,0,0,102.00,194.00,0,0,208,2914.00,0,0,0,0,0,0,0,0,99.00,208.00,0,0,167,2315.00,0,0,0,0,0,0,50.00,0,50.00,171.00,0,0
621,2026,Annamayya,Pileru,1031047,109,1830.00,0,0,0,0,0,0,0,0,100.00,120.00,0,0,117,1748.00,0,0,0,0,0,0,100.00,0,100.00,44.00,0,0,124,2065.00,0,0,0,0,0,0,0,0,50.00,50.00,0,0,111,1614.00,0,0,0,0,0,0,50.00,0,50.00,96.00,0,0
622,2026,Annamayya,Pileru,1031048,292,4445.00,0,0,0,0,0,0,0,0,38.00,318.00,0,0,293,4465.00,0,0,0,0,0,0,0,0,0,320.00,0,0,296,4465.00,0,0,0,0,0,0,0,0,0,320.00,0,0,288,4465.00,0,0,0,0,0,0,0,0,56.00,317.00,0,0
623,2026,Annamayya,Pileru,1031049,265,4255.00,0,0,0,0,0,0,0,0,0,288.00,0,0,278,4151.00,0,0,0,0,0,0,100.00,0,100.00,297.00,0,0,263,4157.00,0,0,0,0,0,0,0,0,100.00,178.00,0,0,280,4157.00,0,0,0,0,0,0,200.00,0,100.00,302.00,0,0
624,2026,Annamayya,Pileru,1031050,221,3430.00,0,0,0,0,0,0,0,0,123.00,234.00,0,0,213,3440.00,0,0,0,0,0,0,0,0,0,217.00,0,0,203,3385.00,0,0,0,0,0,0,0,0,0,213.00,0,0,219,3453.00,0,0,0,0,0,0,50.00,0,100.00,231.00,0,0
